Blue_Pick_1,Blue_Pick_2,Blue_Pick_3,Blue_Pick_4,Blue_Pick_5,Red_Pick_1,Red_Pick_2,Red_Pick_3,Red_Pick_4,Red_Pick_5,Blue_Win
TahmKench,Sylas,Yasuo,MissFortune,Braum,Zaahen,Kindred,Vladimir,Xayah,Pyke,0
TahmKench,Ekko,Azir,Tristana,Renata,Fiora,Nunu,Irelia,Yunara,Janna,1
TahmKench,Zac,Swain,Ezreal,Morgana,Volibear,FiddleSticks,Katarina,Ashe,Renata,1
Zaahen,Karthus,Katarina,Vayne,Seraphine,TahmKench,Nunu,Sylas,Kaisa,Milio,1
Zaahen,Nidalee,Galio,Ezreal,Karma,TahmKench,Nunu,Orianna,Smolder,Neeko,1
TahmKench,Sylas,Mel,Caitlyn,Nami,Kled,Ambessa,Hwei,Smolder,Pyke,1
TahmKench,Warwick,Azir,Jinx,Lulu,Akali,LeeSin,Zed,MissFortune,Brand,1
TahmKench,Shaco,Anivia,Aphelios,Lulu,Urgot,Viego,Mel,Yunara,Rakan,0
TahmKench,Diana,Lucian,Vayne,Nami,Vladimir,Nunu,Tristana,MissFortune,Karma,1
TahmKench,Talon,Xerath,Lucian,Nami,Mordekaiser,Volibear,Velkoz,Corki,Neeko,0
DrMundo,Viego,Orianna,Kaisa,Braum,TahmKench,LeeSin,Akali,Ashe,Senna,1
Ambessa,Talon,Lux,Viktor,Soraka,TahmKench,Graves,Syndra,Sivir,Mel,1
TahmKench,Gwen,Taliyah,MissFortune,Karma,Zaahen,Diana,Yasuo,Ashe,Janna,1
TahmKench,Udyr,Ahri,MissFortune,Nami,Chogath,Qiyana,Viktor,Lucian,Braum,0
Yorick,Diana,Yasuo,Brand,Sona,Ornn,Kayn,Kayle,Jinx,Poppy,0
KSante,Khazix,Syndra,Vayne,Elise,TahmKench,Viego,Taliyah,Ezreal,Leona,0
Aurora,Poppy,Akshan,Vayne,Bard,Camille,Sylas,Ryze,Ezreal,TahmKench,1
Darius,Qiyana,Azir,Caitlyn,Rell,TahmKench,Nocturne,Akshan,KogMaw,Thresh,0
TahmKench,Zed,Taliyah,Ezreal,Bard,Ambessa,Evelynn,Malzahar,Twitch,Lulu,0
Riven,Sejuani,AurelionSol,Smolder,Rakan,TahmKench,Zac,Yone,Jinx,Lux,1
Gangplank,Sylas,Kassadin,Ezreal,Karma,TahmKench,JarvanIV,Katarina,Velkoz,Nami,0
Olaf,Sylas,Yasuo,Draven,Milio,TahmKench,Vi,Mel,MissFortune,Blitzcrank,0
TahmKench,Khazix,Galio,Caitlyn,Thresh,Kled,Amumu,Ryze,Tristana,Mel,0
Gwen,Zac,Naafiri,Tristana,Maokai,TahmKench,Skarner,Viktor,MissFortune,Nami,1
Swain,Sylas,Qiyana,Caitlyn,Soraka,Sett,LeeSin,Vladimir,Kaisa,TahmKench,1
Gangplank,MonkeyKing,Anivia,Kaisa,Leona,TahmKench,MasterYi,Katarina,Mel,Nautilus,1
Zaahen,Ekko,Naafiri,Yunara,Leona,TahmKench,Chogath,TwistedFate,MissFortune,Nautilus,0
Nocturne,Chogath,Malzahar,Jinx,Heimerdinger,TahmKench,Viego,Ahri,Smolder,Bard,0
TahmKench,Talon,Ahri,Zyra,Ashe,Jax,Qiyana,Sylas,Kaisa,Leona,1
Pantheon,JarvanIV,TwistedFate,MissFortune,Nami,TahmKench,Zac,Akshan,Brand,Thresh,0
TahmKench,Amumu,Irelia,MissFortune,Janna,Darius,Ambessa,Ahri,Kaisa,Poppy,1
Jax,Evelynn,Ahri,Aphelios,Leona,TahmKench,Gwen,Leblanc,Ashe,Seraphine,1
Renekton,Viego,Galio,Vayne,Senna,TahmKench,Talon,Syndra,Jhin,Alistar,1
Gragas,Zed,Akali,MissFortune,Janna,TahmKench,Rengar,Malzahar,Smolder,Velkoz,1
TahmKench,Diana,Yone,Kaisa,Pantheon,Fiora,Evelynn,Akali,Ashe,Renata,1
TahmKench,Zed,Talon,Jhin,Rakan,Zaahen,Qiyana,Katarina,Tristana,Karma,0
Janna,Sylas,Syndra,Zeri,Yuumi,Ornn,Lillia,Naafiri,Yunara,Sona,0
FiddleSticks,Graves,Malphite,MissFortune,Leona,TahmKench,Amumu,Talon,Kaisa,Elise,1
TahmKench,Graves,Fizz,Ziggs,Nami,Volibear,Sylas,Pantheon,Mel,Senna,1
Yasuo,Diana,Qiyana,Jhin,Rakan,TahmKench,Udyr,Sylas,Tristana,Camille,1
Renekton,LeeSin,Taliyah,Twitch,Sylas,TahmKench,Riven,Akali,Ziggs,Thresh,0
Garen,Viego,Zoe,Xayah,Elise,TahmKench,Karthus,Akshan,Smolder,Sona,0
TahmKench,Graves,Yasuo,KogMaw,Malzahar,Ambessa,Hecarim,Syndra,Vayne,Karma,0
TahmKench,Talon,Mel,Nilah,Soraka,Gwen,Ambessa,AurelionSol,Caitlyn,Milio,0
Garen,Vi,Sylas,Kaisa,Nautilus,TahmKench,Ivern,Ryze,Swain,Senna,0
Darius,Kayn,Ahri,Sivir,Milio,TahmKench,Rammus,Zoe,MissFortune,Pyke,1
KSante,Kayn,Vex,Kaisa,Zilean,TahmKench,Sejuani,Akali,Aphelios,Bard,1
Sion,XinZhao,Akali,MissFortune,Leona,TahmKench,Talon,Jayce,Twitch,Nami,0
Shaco,DrMundo,Mel,Vayne,Bard,Gwen,Nunu,Viktor,Kaisa,TahmKench,0
Gnar,Viego,Leblanc,Caitlyn,Pyke,TahmKench,Ekko,XinZhao,Jinx,Janna,0
TahmKench,Khazix,Lux,Jhin,Shaco,Jayce,Evelynn,Vayne,Tristana,Leona,0
Jayce,Diana,Yone,Corki,TahmKench,Lissandra,Udyr,Katarina,Samira,Nautilus,1
Darius,Malphite,TahmKench,Xayah,Senna,Ornn,Zed,Ekko,Smolder,Rell,0
TahmKench,Malphite,Zed,Ashe,Leona,Olaf,Diana,Leblanc,Kaisa,Senna,0
TahmKench,Nocturne,Aurora,Smolder,Bard,Volibear,Elise,Naafiri,Zeri,Rakan,0
TahmKench,Sylas,Zed,Kaisa,Alistar,Garen,XinZhao,Hwei,Yunara,Elise,1
Chogath,Khazix,Malzahar,Lucian,Leona,TahmKench,JarvanIV,Ryze,Ashe,Elise,1
Graves,Kayn,Anivia,Kaisa,Rakan,TahmKench,Naafiri,Kassadin,Zeri,Janna,0
TahmKench,Viego,Galio,Yasuo,Rakan,Vladimir,Sylas,Kennen,Varus,Janna,0
TahmKench,Viego,Annie,Nilah,Senna,Yone,Gwen,Syndra,Smolder,Sona,1
TahmKench,Viego,Vex,Smolder,Milio,Yorick,Rengar,Sion,Ziggs,Nami,1
Jayce,Jax,AurelionSol,Seraphine,Nami,TahmKench,JarvanIV,Katarina,KogMaw,Milio,1
Ambessa,Kindred,Anivia,Ziggs,Alistar,TahmKench,Viego,Ahri,KogMaw,Nami,0
Gangplank,Sylas,Xerath,Vayne,Lulu,TahmKench,Khazix,Akshan,KogMaw,Neeko,1
Gangplank,Elise,Diana,Twitch,Yuumi,TahmKench,JarvanIV,Ekko,KogMaw,Nautilus,1
Garen,Kayn,Mel,Xayah,Rakan,TahmKench,Jax,Syndra,KogMaw,Nami,0
TahmKench,Zed,Mel,Seraphine,Taric,Camille,Viego,Sylas,Corki,Elise,0
TahmKench,RekSai,Viktor,Smolder,Nami,Volibear,Sylas,Syndra,Twitch,Yuumi,0
Jayce,Elise,Ryze,Yunara,Pyke,Sion,Diana,Yone,Ezreal,Rakan,1
Zaahen,Chogath,Jayce,Tristana,Leona,Ambessa,Elise,Hwei,Yunara,Soraka,1
Jayce,Chogath,Viktor,Caitlyn,Karma,DrMundo,Zed,Orianna,MissFortune,Bard,0
KSante,XinZhao,Veigar,Corki,Elise,Rumble,Zed,Riven,Lucian,Soraka,1
Zaahen,Qiyana,Sylas,Kaisa,Poppy,Sejuani,Diana,Yone,Vayne,Lulu,1
Sett,Naafiri,Kassadin,Nilah,Poppy,Fiora,Diana,Sion,Tristana,Sona,0
Sejuani,Jayce,Syndra,Yunara,Bard,Nasus,Udyr,Orianna,Aphelios,Thresh,0
Sejuani,Sylas,Jayce,Aphelios,Elise,Yorick,Qiyana,Zilean,Ashe,Bard,1
Sejuani,Jayce,Kayle,Jinx,Thresh,Aatrox,Viego,Zac,MissFortune,Blitzcrank,1
Rumble,JarvanIV,Anivia,Kaisa,Bard,Ambessa,Jayce,Aurora,Twitch,Karma,1
Corki,Aatrox,Zoe,Zeri,Poppy,Jayce,Sylas,Gangplank,Ekko,Nautilus,1
Zaahen,Zed,Galio,Kaisa,Pyke,Gnar,Diana,Orianna,Jhin,Bard,0
Aurora,Warwick,Ahri,Kaisa,Rakan,Zaahen,Jayce,Zoe,MissFortune,Bard,0
Teemo,Jayce,Taliyah,Sivir,Bard,Zaahen,Sylas,Tristana,Jhin,Elise,1
Aurora,Aatrox,Akali,Smolder,Pyke,Irelia,Jayce,Syndra,Yunara,Fiora,0
Vayne,Ambessa,Syndra,MissFortune,Elise,Gnar,Riven,Leblanc,Yunara,Taric,0
RekSai,Zaahen,Sylas,Lucian,Nami,Jax,Ambessa,Anivia,Ezreal,Zoe,0
Cassiopeia,Sylas,Mel,Lucian,Nami,Yone,Taliyah,Akali,Tristana,Pyke,0
Gnar,Nasus,Ziggs,Smolder,Alistar,Ezreal,Warwick,Taliyah,Mel,Bard,1
Aatrox,JarvanIV,Quinn,Ziggs,Nautilus,Jayce,Rumble,Taliyah,MissFortune,Rell,1
Zaahen,Sylas,Sion,Aphelios,Nautilus,Gangplank,DrMundo,Karma,Yunara,Braum,1
KSante,Talon,Galio,Jhin,Pyke,Gnar,Ekko,Smolder,Taliyah,Bard,0
Nasus,LeeSin,Qiyana,Anivia,Poppy,Gwen,Ambessa,Orianna,MissFortune,Rakan,1
Varus,Ambessa,Taliyah,Sivir,Lux,Zaahen,Chogath,Hwei,Ezreal,Alistar,1
Gragas,Viego,Irelia,Jhin,Karma,Aatrox,Chogath,Naafiri,Kaisa,Blitzcrank,1
Zaahen,Aatrox,Galio,Yunara,Karma,Tryndamere,Diana,Irelia,Caitlyn,Elise,1
Aatrox,Nidalee,Karma,MissFortune,Rell,Gnar,Qiyana,Sion,Mel,Pyke,1
Gnar,Diana,Malzahar,Jhin,Janna,Yorick,JarvanIV,Galio,Yunara,Braum,0
Gragas,Ambessa,Nunu,MissFortune,Nautilus,Zaahen,Karthus,Corki,Jhin,Janna,1
Zaahen,Jayce,Lissandra,Yunara,Rell,Renekton,Nidalee,Yone,Ekko,Nautilus,0
Ambessa,Sion,Ahri,Yunara,Blitzcrank,Gwen,Jayce,Viktor,Ashe,Nami,1
Zaahen,Sylas,Irelia,Ezreal,Karma,Akali,Pantheon,Vladimir,Qiyana,Bard,0
Zaahen,Zed,Ekko,Mel,Poppy,Sett,Sylas,Cassiopeia,Tristana,Nautilus,1
Zaahen,Sylas,Zoe,MissFortune,Nautilus,KSante,Ambessa,Orianna,Yunara,Neeko,1
Zaahen,Qiyana,Leblanc,Draven,Rakan,KSante,Ekko,Hwei,MissFortune,Poppy,0
Fiora,MonkeyKing,Hwei,Ezreal,Pyke,Ambessa,JarvanIV,Twitch,Yunara,Poppy,0
Sylas,Shaco,Yone,Aphelios,Leona,Jax,Ambessa,Sion,Mel,Nautilus,1
Gnar,Vi,Taliyah,MissFortune,Rell,KSante,Shaco,Katarina,Kaisa,Poppy,0
Gnar,RekSai,Akali,Veigar,Pyke,Aatrox,Shaco,Anivia,Jhin,Leona,1
Zaahen,Sylas,Akshan,Yasuo,Rakan,Aurora,Ambessa,Malzahar,Varus,Bard,0
Illaoi,Nidalee,Akali,Ashe,Pyke,Jayce,Nunu,Mel,Jhin,Bard,0
KSante,Nunu,Galio,Ziggs,Pyke,Gnar,Zed,Katarina,Tristana,Bard,0
Yorick,Talon,Akshan,Lucian,Neeko,Singed,XinZhao,Quinn,Kaisa,Nautilus,1
KSante,Diana,Yasuo,Taliyah,Poppy,Vladimir,Nidalee,Renekton,Kalista,Alistar,0
Olaf,Sylas,Quinn,Anivia,Poppy,Sion,LeeSin,Ahri,Caitlyn,Karma,1
Rumble,Sylas,Jayce,Ashe,Rakan,KSante,Qiyana,Draven,Mel,Pyke,0
KSante,XinZhao,Annie,Zeri,Seraphine,Aurora,Nunu,Yone,Draven,Karma,0
Zaahen,Sylas,Hwei,Ashe,Karma,Aatrox,Nunu,Cassiopeia,Tristana,Nautilus,0
Anivia,Zaahen,Yasuo,MissFortune,Nautilus,Rumble,Qiyana,Malzahar,Draven,Neeko,0
Heimerdinger,Evelynn,Yone,Ezreal,Karma,Zaahen,Nocturne,Karthus,MissFortune,Leona,0
Sion,Karthus,Syndra,MissFortune,Bard,Yone,Ekko,Velkoz,Ezreal,Pyke,0
KSante,Shaco,Yone,Mel,Bard,Vayne,Sylas,Quinn,Smolder,Alistar,0
Teemo,Malphite,Quinn,Ezreal,KSante,Yorick,Aatrox,Sylas,Kaisa,Neeko,0
Zaahen,Qiyana,Vladimir,Ezreal,Pyke,Jax,Zac,Mel,Vayne,Janna,1
Urgot,Shaco,Syndra,MissFortune,Bard,Sion,Diana,Tristana,Yunara,Taric,0
Varus,Diana,Anivia,MissFortune,Rell,Ambessa,Sylas,Vayne,Jhin,Nautilus,0
Zaahen,Malphite,Tristana,Zeri,Sona,Gangplank,Aatrox,Syndra,MissFortune,Pantheon,1
Zaahen,DrMundo,Teemo,Ezreal,Karma,Fiora,Elise,Talon,Jhin,Pyke,1
Aatrox,Karthus,Aurora,Tristana,Zilean,Jayce,Vi,Syndra,MissFortune,Rakan,1
Zaahen,JarvanIV,Syndra,Smolder,Soraka,Ambessa,Aatrox,Twitch,Jhin,Leona,0
